Produto_Cod_barras	idIngrediente
3229820181950	1
3229820181950	2
3229820181950	3
3229820181950	4
3229820181950	5
3229820181950	6
3229820181950	7
3229820181950	8
3229820181950	9
3229820181950	10
3229820181950	11
3229820181950	12
3229820181950	13
3229820181950	14
3229820181950	15
3229820181950	16
3229820181950	17
3229820181950	18
5410126806052	19
5410126806052	20
5410126806052	21
5410126806052	22
5410126806052	23
5410126806052	24
5410126806052	25
5410126806052	26
20093709	27
20093709	20
20093709	28
20093709	29
20093709	30
20093709	31
20093709	32
20093709	25
20093709	33
20093709	34
20093709	35
3560070420179	36
3560070420179	37
3560070420179	38
3560070420179	39
3560070420179	25
3560070420179	40
3560070420179	41
3560070419456	42
3560070419456	43
3268350120558	44
3268350120558	45
3268350120558	46
3268350120558	47
3268350120558	48
3268350120558	49
3268350120558	50
3268350120558	51
3268350120558	52
3268350120558	53
3268350120558	54
3268350120558	55
3268350120558	56
3268350120558	57
3268350120558	58
3268350120558	59
3178530402698	60
3178530402698	20
3178530402698	61
3178530402698	62
3178530402698	63
3178530402698	64
3178530402698	31
3178530402698	65
3178530402698	66
3178530402698	25
3178530402698	67
3178530402698	10
3178530402698	68
3336970711057	69
3336970711057	70
3336970711057	71
3336970711057	25
3336970711057	72
3336970711057	73
3350033118065	74
3350033118065	75
3350033118065	76
3350033118065	52
3350033118065	77
3350033118065	78
3350033118065	79
3431410131003	80
3431410131003	81
3431410131003	82
3431410131003	83
3431410131003	84
3431410131003	85
3431410131003	86
3431410131003	27
3431410131003	20
3431410131003	87
3431410131003	88
3431410131003	25
3431410131003	89
3431410131003	90
3431410131003	91
3560070600977	92
3560070600977	93
3560070600977	94
3560070600977	95
3560070600977	96
3449851140553	97
3449851140553	98
3449851140553	99
3449851140553	25
3449851140553	100
3449851140553	101
3449851140553	102
3449851140553	103
3449851140553	20
3449851140553	104
3449851140553	105
3560070725588	106
3560070725588	94
3560070725588	107
3560070725588	108
3560070725588	109
7071848006113	110
7071848006113	111
7071848006113	112
7071848006113	113
7071848006113	114
7071848006113	115
7071848006113	116
7071848006113	117
7071848006113	118
7071848006113	119
3245413922403	120
3245413922403	121
3245413922403	20
3245413922403	122
3245413922403	123
3245413922403	124
3245413922403	125
3245413922403	126
3245413922403	127
3245413922403	128
3245413922403	129
3245413922403	130
3245413922403	131
3245413922403	132
3245413922403	133
3245413922403	134
3245413922403	135
3245413922403	136
3245413922403	10
3245413922403	137
3245413922403	138
3245413922403	25
3245413922403	139
3245413922403	140
3245413922403	141
3245413922403	142
3245413922403	143
3245413922403	144
3760121210524	145
3760121210524	146
3760121210524	81
3760121210524	77
3760121210524	147
3760121210524	148
3760121210524	149
3760121210524	150
3760121210524	151
3760121210524	152
3760121210524	153
3760121210524	154
3760121210524	155
3760121210524	156
3760121210524	157
3564709005157	19
3564709005157	20
3564709005157	158
3564709005157	32
3564709005157	25
3564709005157	89
3564709005157	159
3564709005157	160
3477730001503	161
3477730001503	162
3477730001503	163
3477730001503	164
3477730001503	81
3477730001503	165
3477730001503	77
3477730001503	166
3760122961241	167
3760122961241	20
3760122961241	168
3760122961241	169
3760122961241	170
3760122961241	171
3760122961241	172
3760122961241	25
3760122961241	173
3760122961241	81
3760122961241	174
3760122961241	83
3760122961241	175
3760122961241	159
3760122961241	176
3178530411195	177
3178530411195	82
3178530411195	83
3178530411195	81
3178530411195	178
3178530411195	85
3178530411195	86
3178530411195	27
3178530411195	179
3178530411195	180
3178530411195	20
3178530411195	181
3178530411195	182
3178530411195	25
3178530411195	183
5000396015935	184
5000396015935	185
5000396015935	186
5000396015935	187
5000396015935	188
5000396015935	189
5000396015935	190
5000396015935	191
5000396015935	192
3336971112013	69
3336971112013	193
3336971112013	71
3336971112013	25
3336971112013	72
3336971112013	73
26034669	19
26034669	20
26034669	194
26034669	195
26034669	31
26034669	25
26034669	196
3175681140806	197
3175681140806	198
3175681140806	199
3175681140806	200
3175681140806	201
3175681140806	202
3175681140806	203
3175681140806	204
3175681140806	205
3175681140806	206
3175681140806	207
3175681140806	208
3175681140806	209
3175681140806	210
3175681140806	211
3175681140806	155
3175681140806	212
3175681140806	213
