Cod_barras	Nome	idFabricante	Calorias_100g	Sodio_100g	FibrasAlimentares_100g	Acucares_100g	Proteinas_100g	GordurasTotais_100g	Quantidade	Un_Quantidade
4004980517905	Kesselnüsse	63	2025	6692913386		77	14	25	125	g
7610036000337	Larmes de Cognac	64	2020	787	15	56	5	23	100	g
3588570003524	Le Régal nappé de chocolat au lait	65	2029	1771653543	33	184	69	192	250	g
4003754176447	Lübecker Edelmarzipan Happen	66	2027	39370079		43	99	29	100	g
4104420053847	Mais Chips natur	67	2009	3149606299	4	15	67	215	125	g
4104420054806	Mais-Chips Paprika	67	2009	5118110236	4	15	67	215	125	g
4000161100904	Marzipan Klassiker ohne Schokolade	68	2006	78740157		358	108	307	100	g
4000161440673	Marzipan-Robben	68	2010	78740157		359	108	307	100	g
3560070559619	Mini-Flûtes	13	2032	7480314961	35	3	12	22	125	g
26192000	Nut Bars Choc Almond and Cranberry	48	2030	22	78	296	14	254	225	g
3760029244003	Palets de Belle-Ile-en-Mers au beurre frais	69	2033	3937007874		213	45	29	180	g
3760020501051	Pesto tomate parmesan	70	2014	8858267717	5	58	52	465	180	g
20127541	Petit Beurre au Chocolat Noir	71	2035	256	41	37	62	221	150	g
3396411223143	Petit Normand Nature (15% offert)	43	2011	3937007874		24	95	19	140	g
3560070504701	Pop n' Croc	13	2043	16535	23	51	73	23	175	g
5901869009645	Saucisse au mètre	72	2022	15748031496		5	236	425	105	g
3265475016001	Saveur Poulet Rôti Tomate et Ail	73	2009	11023622047		62	1	50	230	g
26018324	Soufflés Cacahuètes	74	2025	72	5	14	131	236	200	g
3555080708591	Tablette Chocolat Noir Fourré au Caramel au Beurre Salé à la Fleur de Sel	75	2049	708661417	52	47	58	26	100	g
3760077534583	Taralli aux olives noires	37	2023	9448818898	2	84	10	21	200	g
8423207207478	Tortitas de maíz con tomate	76	2014	4724409449	16	8	77	17	1235	g
3222475720444	chocolat noir fourré pate d'amande	33	2029	78740157	45	48	68	25	155	g
5000167082890	no sugar added Swiss milk chocolate	78	2000	787401575	29	11	67	34	100	g
3260260031412	2 Galettes Pur Beurre	79	2042	2637795276		28	47	19	19	g
20277406	Almendras garrapiñadas	80	2044	39370079		593	63	194	200	g
602652176616	Almond & Coconut gluten Free Nut Bar	81	2039	7	7	31	8	29	40	g
8480000335760	Aperitivo de maíz &quot;Hacendado&quot; Cuquis	61	2003	8	18	12	57	199	80	g
8413671022202	Aros de maíz &quot;Chaskis&quot; (100 g)	82	20064	8	3	32	58	21	100	g
8413671030603	Aros de maíz &quot;Chaskis&quot; (150 g)	82	20064	8	3	32	58	21	150	g
8413671022042	Aros de maíz &quot;Chaskis&quot; (200 g)	82	20064				58	21	200	g
5425008344584	Barre au Chocolat Superfruit NewTree	83	2046	43	205	286	51	334	30	g
836110002074	Barre de Chocolat aux Amandes NewTree	83	2020	5	20	267	10	40	30	g
24001885	Barritas de cereales chocolate negro	84	2040	1496062992	82	38	59	24	200	g
20128609	Bio-Sonnenblumenkerne	85	2008	0	58	35	261	263	600	g
3497900007111	Biscuit Olives	86	2000	7480314961	37	13	10	22	100	g
3350033092419	Biscuit Sablé Panda Goût Vanille Cacao (x 8)	9	2001	125984252		25	62	20	120	g
60465005828	Biscuits au gingembre	87	2010	111	0	37	37	185	400	g
3250392250249	Biscuits aux céréales (25 % de Chocolat Noir)	88	2042	984251969	51	221	89	213	180	g
3662790003325	Biscuits à la tomate séchée et basilic	89	2037	6299212598		77	62	263	75	g
3564700083642	Bloc De Foie Gras De Canard	90	2025	3937007874	8	18	61	50	80	g
3257980085788	Bloc de Foie gras de canard du Sud-Ouest	91	2030	4094488189	9	18	62	506	180	g
3257980085764	Bloc de Foie gras de canard du Sud-Ouest	91	2030	4094488189	9	18	62	508	80	g
3257982161565	Bloc de Foie gras de canard du Sud-Ouest	91	2030	4094488189	9	18	62	508	300	g
3245412512179	Bloc de foie gras de canard	13	2044	5511811024		8	68	50	200	g
3350030201029	Bloc de foie gras de canard 2 tranches	9	2003	4724409449		14	63	50	80	g
3250391773688	Bloc de foie gras de canard avec morceaux	92	2000	5590551181		6	69	506	200	g
3113010125865	Bloc de foie gras de canard avec morceaux	93	2014	4409448819		13	6	51	350	g
3250391095605	Bloc de foie gras de canard avec morceaux	94	2039	4724409449		13	66	51	300	g
